房源标题,链接,户型,面积,房屋朝向,装修形式,小区名称,地址,关注度,总价,单价,图片路径
南北通透 双阳台 一梯两户，低楼层大三房,https://xm.lianjia.com/ershoufang/105105956526.html,3室2厅,127.42平米,南 北,精装,前埔南区文兴东三里,前埔,66人关注 / 一年前发布,530,"41,595元/平",images\house_39_19.jpg
产权满2年 全开间朝南户型 朝南看湖景 位置安静,https://xm.lianjia.com/ershoufang/105115188534.html,3室1厅,129.05平米,南,简装,水晶湖郡C区,集美新城,0人关注 / 6个月以前发布,508,"39,365元/平",images\house_39_20.jpg
南山小区 3室1厅 南,https://xm.lianjia.com/ershoufang/105114921047.html,3室1厅,95.71平米,南,精装,南山小区,南山路,0人关注 / 7个月以前发布,448,"46,809元/平",images\house_39_21.jpg
花园小区，电梯高层，三房格局方正，带二个大阳台,https://xm.lianjia.com/ershoufang/105114665352.html,3室2厅,140.6平米,东北,简装,乔永康大厦,禾祥西路,0人关注 / 8个月以前发布,738,"52,490元/平",images\house_39_22.jpg
建发海玥和鸣，环境如画，笑纳人生美景高层精装精三房,https://xm.lianjia.com/ershoufang/105115745136.html,3室2厅,87.09平米,东南,精装,海玥和鸣,马銮湾中心片区,0人关注 / 4个月以前发布,317,"36,400元/平",images\house_39_23.jpg
中交和美新城复式毛坯四房厨房大采光好,https://xm.lianjia.com/ershoufang/105112896544.html,4室2厅,98.62平米,东南 南,毛坯,中交和美新城四期,集美新城,1人关注 / 一年前发布,520,"52,728元/平",images\house_39_24.jpg
东南北三面采光，占地36平，使用四层，使用面积120平,https://xm.lianjia.com/ershoufang/105112997040.html,3室1厅,95.44平米,南 北,精装,厦禾路2号~389号,中山路,2人关注 / 一年前发布,698,"73,135元/平",images\house_39_25.jpg
使用面积大，阳台外拓改好正规一房一厅另再倒板一阳台,https://xm.lianjia.com/ershoufang/105112421910.html,1室1厅,46.32平米,南,精装,华天花园,莲坂,0人关注 / 一年前发布,298,"64,336元/平",images\house_39_26.jpg
大三房两厅两卫，小区配套设施好,https://xm.lianjia.com/ershoufang/105113576852.html,3室2厅,111.33平米,南 北,简装,龙山山庄,莲前,0人关注 / 一年前发布,618,"55,511元/平",images\house_39_27.jpg
龙湖春江郦城 楼中楼复式 高楼层,https://xm.lianjia.com/ershoufang/105110822323.html,4室2厅,97.1平米,南 北,简装,龙湖春江郦城二期,杏北,0人关注 / 一年前发布,455,"46,859元/平",images\house_39_28.jpg
水晶边套通透朝南边套户型，采光明亮，居住舒服,https://xm.lianjia.com/ershoufang/105110139574.html,3室2厅,127.92平米,南,简装,住宅·水晶湖郡,集美新城,3人关注 / 一年前发布,488,"38,149元/平",images\house_39_29.jpg
电梯高层 采光好  诚意出售  空户,https://xm.lianjia.com/ershoufang/105115323655.html,1室0厅,22.15平米,北,简装,天宝大厦,松柏,0人关注 / 6个月以前发布,190,"85,779元/平",images\house_40_0.jpg
户型好，海景房，高档装修，小区带游泳池,https://xm.lianjia.com/ershoufang/105110448895.html,2室2厅,69.09平米,南,精装,海上五月花五期,集美其它,6人关注 / 一年前发布,220,"31,843元/平",images\house_40_1.jpg
前埔南区文兴东一里2房2厅仅售320万,https://xm.lianjia.com/ershoufang/105116060366.html,2室2厅,67.62平米,南 北,精装,前埔南区文兴东一里,前埔,0人关注 / 3个月以前发布,320,"47,324元/平",images\house_40_2.jpg
格局 ，3房间朝南，产权满两年，全明采光好。,https://xm.lianjia.com/ershoufang/105106407637.html,4室4厅,140.78平米,东南,简装,禹洲尊海,海沧体育中心,0人关注 / 一年前发布,498,"35,375元/平",images\house_40_3.jpg
集美桥头堡  保利品质   朝南两房,https://xm.lianjia.com/ershoufang/105113812722.html,2室1厅,68.94平米,南,简装,海上五月花五期,集美其它,2人关注 / 一年前发布,232,"33,653元/平",images\house_40_4.jpg
采光充足，精装修，交通便利，视野景观开阔，湖海景观,https://xm.lianjia.com/ershoufang/105111951057.html,2室1厅,44.5平米,东北,精装,正元新都汇,海沧体育中心,1人关注 / 一年前发布,108,"24,270元/平",images\house_40_5.jpg
此房满五，省个税费，楼层低没电梯，适合老少居住,https://xm.lianjia.com/ershoufang/105114809405.html,3室2厅,117.39平米,南 北,精装,四季芳园,集美文教区,0人关注 / 8个月以前发布,418,"35,608元/平",images\house_40_6.jpg
水晶湖郡 视野广阔 采光充足 交通便利,https://xm.lianjia.com/ershoufang/105110916958.html,3室2厅,116.04平米,南,简装,水晶湖郡C区,集美新城,0人关注 / 一年前发布,500,"43,089元/平",images\house_40_7.jpg
世茂品质管理 开发商精装修 全明格局,https://xm.lianjia.com/ershoufang/105107684178.html,4室2厅,116.86平米,南 北,精装,世茂御海墅,翔安新城,3人关注 / 一年前发布,370,"31,662元/平",images\house_40_8.jpg
华玺海景四房 自住保养好  高层视野开阔,https://xm.lianjia.com/ershoufang/105113958109.html,4室2厅,126.91平米,西北,简装,华玺,马銮湾东,1人关注 / 11个月以前发布,379,"29,864元/平",images\house_40_9.jpg
环东海域精装两房，业主诚心出售,https://xm.lianjia.com/ershoufang/105110833865.html,2室2厅,54平米,南,精装,彩虹湾,环东海域,1人关注 / 一年前发布,142,"26,297元/平",images\house_40_10.jpg
兴阁里小区，边套，楼层好，满五，精装修,https://xm.lianjia.com/ershoufang/105110745104.html,3室1厅,111.32平米,南,精装,兴阁里小区,杏东,2人关注 / 一年前发布,255,"22,907元/平",images\house_40_11.jpg
南北通透格局，楼层好，采光好，配套齐全,https://xm.lianjia.com/ershoufang/105112712408.html,4室2厅,155.59平米,南 北,简装,嘉盛豪园E组团,瑞景,0人关注 / 一年前发布,780,"50,132元/平",images\house_40_12.jpg
东 南 北 三面采光 四房优质户型 楼层佳 一线景观,https://xm.lianjia.com/ershoufang/105112780698.html,4室2厅,163.03平米,东 南 北,精装,中航城A区,杏锦路,0人关注 / 一年前发布,630,"38,644元/平",images\house_40_13.jpg
夏商精装边套自住大两房 朝南明厨明卫刚需首先低总价,https://xm.lianjia.com/ershoufang/105112897351.html,2室1厅,81.96平米,南,精装,夏商新纪元,锦园,0人关注 / 一年前发布,179,"21,840元/平",images\house_40_14.jpg
海尚国际一线沙滩海景住宅，BRT旁边，小区绿化好。,https://xm.lianjia.com/ershoufang/105106930203.html,3室2厅,139.85平米,南,精装,金都海尚国际,环东海域,4人关注 / 一年前发布,445,"31,820元/平",images\house_40_15.jpg
莲花路口  封闭式 花园   电梯高层,https://xm.lianjia.com/ershoufang/105111048366.html,2室2厅,45.07平米,西北,精装,东方明珠广场,莲坂,4人关注 / 一年前发布,450,"99,845元/平",images\house_40_16.jpg
湖北大厦电梯1房 近地铁口 好出租,https://xm.lianjia.com/ershoufang/105115371398.html,1室0厅,40.49平米,南,简装,湖北大厦,松柏,0人关注 / 6个月以前发布,247,"61,003元/平",images\house_40_17.jpg
此房楼梯.户型，方正朝南，采光好.,https://xm.lianjia.com/ershoufang/105116273498.html,3室2厅,84.1平米,南 北,简装,洪山柄北区,瑞景,0人关注 / 2个月以前发布,368,"43,758元/平",images\house_40_18.jpg
近集美商圈 精装大两房 业主诚意出售,https://xm.lianjia.com/ershoufang/105116048914.html,2室1厅,85.2平米,东 北,精装,禹洲大学城,集美其它,2人关注 / 3个月以前发布,149,"17,489元/平",images\house_40_19.jpg
环东海域 金都海尚国际 大户型 海景 电梯入户,https://xm.lianjia.com/ershoufang/105115379112.html,5室2厅,228.34平米,东南 北,毛坯,金都海尚国际,环东海域,0人关注 / 6个月以前发布,698,"30,569元/平",images\house_40_20.jpg
莲坂地铁 外图书城 明发广场  能群大厦,https://xm.lianjia.com/ershoufang/105112572131.html,2室1厅,60.65平米,西,简装,能群大厦,莲坂,0人关注 / 一年前发布,360,"59,357元/平",images\house_40_21.jpg
翔安隧道口两房朝南，高层视野开阔，没有遮挡！,https://xm.lianjia.com/ershoufang/105112347494.html,2室2厅,73.99平米,南 北,精装,明发半岛祥湾B区,翔安新城,0人关注 / 一年前发布,198,"26,761元/平",images\house_40_22.jpg
夏商新纪元 不靠路 毛坯 可自行装修  诚意出售 228万,https://xm.lianjia.com/ershoufang/105113395903.html,2室2厅,81.96平米,南,毛坯,夏商新纪元,锦园,0人关注 / 一年前发布,220,"26,843元/平",images\house_40_23.jpg
高层，朝南，阳光充足，方正设计，麻雀虽小，五脏齐全,https://xm.lianjia.com/ershoufang/105115808619.html,1室1厅,34.63平米,南,精装,龙门天下,江头,1人关注 / 4个月以前发布,199,"57,465元/平",images\house_40_24.jpg
sm商圈，松柏片区，地铁口，低总价，湖景房,https://xm.lianjia.com/ershoufang/105112270912.html,2室2厅,89.44平米,南 北,精装,翠湖公寓,松柏,0人关注 / 一年前发布,508,"56,798元/平",images\house_40_25.jpg
集美新城稀有边套精装直视湖景。,https://xm.lianjia.com/ershoufang/105109187507.html,3室2厅,133.52平米,西南 北,精装,IOI园博湾,杏锦路,19人关注 / 一年前发布,505,"37,823元/平",images\house_40_26.jpg
松柏正规两房，电梯房，低总价，中楼层,https://xm.lianjia.com/ershoufang/105110445925.html,2室1厅,71.04平米,西,简装,湖北大厦,松柏,3人关注 / 一年前发布,450,"63,345元/平",images\house_40_27.jpg
新上云顶至 中层高档装修4房 看景观视野效果好,https://xm.lianjia.com/ershoufang/105111946567.html,4室2厅,269.74平米,南 北 西,精装,云顶至尊,瑞景,1人关注 / 一年前发布,1428,"52,940元/平",images\house_40_28.jpg
你看那个大厦 带绿化小区 电梯大4房 南北向 厅带阳台,https://xm.lianjia.com/ershoufang/105114977300.html,3室2厅,135.33平米,南 北,简装,桃源大厦,江头,1人关注 / 7个月以前发布,548,"40,494元/平",images\house_40_29.jpg
环东海域 金都海尚国际 大户型 海景 电梯入户,https://xm.lianjia.com/ershoufang/105115379112.html,5室2厅,228.34平米,东南 北,毛坯,金都海尚国际,环东海域,0人关注 / 6个月以前发布,698,"30,569元/平",images\house_41_0.jpg
此房满二，标准楼中楼，挑高6米，教育家门口，,https://xm.lianjia.com/ershoufang/105110875235.html,4室2厅,141.75平米,南,毛坯,融侨观邸,马銮湾东,0人关注 / 一年前发布,538,"37,955元/平",images\house_41_1.jpg
sm商圈，松柏片区，地铁口，低总价，湖景房,https://xm.lianjia.com/ershoufang/105112270912.html,2室2厅,89.44平米,南 北,精装,翠湖公寓,松柏,0人关注 / 一年前发布,508,"56,798元/平",images\house_41_2.jpg
通透性好，得房率高，带车位出售950万.车位为76号。。,https://xm.lianjia.com/ershoufang/105110432415.html,3室2厅,146.8平米,东南 南,精装,江山帝景,会展中心,0人关注 / 一年前发布,940,"64,033元/平",images\house_41_3.jpg
集鑫佳园，电梯高层，大三房全明格局 采光视野好。,https://xm.lianjia.com/ershoufang/105113773562.html,3室1厅,130.23平米,南,简装,集鑫佳园,金尚,1人关注 / 一年前发布,599,"45,996元/平",images\house_41_4.jpg
莲前瑞景嘉盛豪园 四房 南北通透 全明结构 自住装修,https://xm.lianjia.com/ershoufang/105110757734.html,4室2厅,136.26平米,南 北,精装,嘉盛豪园E组团,瑞景,24人关注 / 一年前发布,648,"47,557元/平",images\house_41_5.jpg
华玺洋房大4房 双阳台，朝南 通透,https://xm.lianjia.com/ershoufang/105114164254.html,4室2厅,133.27平米,东南,精装,华玺,马銮湾东,0人关注 / 10个月以前发布,349,"26,188元/平",images\house_41_6.jpg
中交和美新城，集美外国语 复式四房，无占用,https://xm.lianjia.com/ershoufang/105115037641.html,4室2厅,93.79平米,南 北,毛坯,中交和美新城一期,集美新城,2人关注 / 7个月以前发布,450,"47,980元/平",images\house_41_7.jpg
翔安隧道口两房朝南，高层视野开阔，没有遮挡！,https://xm.lianjia.com/ershoufang/105112347494.html,2室2厅,73.99平米,南 北,精装,明发半岛祥湾B区,翔安新城,0人关注 / 一年前发布,198,"26,761元/平",images\house_41_8.jpg
莲坂地铁 外图书城 明发广场  能群大厦,https://xm.lianjia.com/ershoufang/105112572131.html,2室1厅,60.65平米,西,简装,能群大厦,莲坂,0人关注 / 一年前发布,360,"59,357元/平",images\house_41_9.jpg
高层，朝南，阳光充足，方正设计，麻雀虽小，五脏齐全,https://xm.lianjia.com/ershoufang/105115808619.html,1室1厅,34.63平米,南,精装,龙门天下,江头,1人关注 / 4个月以前发布,199,"57,465元/平",images\house_41_10.jpg
夏商新纪元 不靠路 毛坯 可自行装修  诚意出售 228万,https://xm.lianjia.com/ershoufang/105113395903.html,2室2厅,81.96平米,南,毛坯,夏商新纪元,锦园,0人关注 / 一年前发布,220,"26,843元/平",images\house_41_11.jpg
世茂品质管理 开发商精装修 全明格局,https://xm.lianjia.com/ershoufang/105107684178.html,4室2厅,116.86平米,南 北,精装,世茂御海墅,翔安新城,3人关注 / 一年前发布,370,"31,662元/平",images\house_41_12.jpg
此房满五，省个税费，楼层低没电梯，适合老少居住,https://xm.lianjia.com/ershoufang/105114809405.html,3室2厅,117.39平米,南 北,精装,四季芳园,集美文教区,0人关注 / 8个月以前发布,418,"35,608元/平",images\house_41_13.jpg
水晶湖郡 视野广阔 采光充足 交通便利,https://xm.lianjia.com/ershoufang/105110916958.html,3室2厅,116.04平米,南,简装,水晶湖郡C区,集美新城,0人关注 / 一年前发布,500,"43,089元/平",images\house_41_14.jpg
采光充足，精装修，交通便利，视野景观开阔，湖海景观,https://xm.lianjia.com/ershoufang/105111951057.html,2室1厅,44.5平米,东北,精装,正元新都汇,海沧体育中心,1人关注 / 一年前发布,108,"24,270元/平",images\house_41_15.jpg
莲花龙盛花园2001年建成 封闭小区  采光好 满五年,https://xm.lianjia.com/ershoufang/105107622224.html,2室2厅,83.14平米,西南,简装,龙盛花园,莲花,31人关注 / 一年前发布,435,"52,322元/平",images\house_41_16.jpg
⭐⭐⭐文教区优质两房两厅，就近配套百年历史学习校！,https://xm.lianjia.com/ershoufang/105110079208.html,2室2厅,90.39平米,南 北,精装,四季芳园,集美文教区,21人关注 / 一年前发布,287,"31,752元/平",images\house_41_17.jpg
海沧马銮湾新城（SM商圈在建）一中旁57.1平1室1厅,https://xm.lianjia.com/ershoufang/105115691521.html,1室1厅,57.1平米,南,精装,佳隆花园,马銮湾中心片区,5人关注 / 5个月以前发布,97,"16,988元/平",images\house_41_18.jpg
联发杏林湾三期，精装60万，业主自住装修，诚意卖,https://xm.lianjia.com/ershoufang/105114823525.html,3室2厅,130.5平米,东南,精装,联发杏林湾一号三期,杏林桥头,0人关注 / 8个月以前发布,460,"35,250元/平",images\house_41_19.jpg
348万 框架两房 户型方正一梯两户 业主诚意出售,https://xm.lianjia.com/ershoufang/105113038057.html,2室2厅,79.53平米,东 西,简装,明发商城,金鸡亭,1人关注 / 一年前发布,318,"39,985元/平",images\house_41_20.jpg
湖里公园地铁口，德辉花园，好楼层，大两房，户型方正,https://xm.lianjia.com/ershoufang/105113977882.html,2室2厅,86.64平米,东 西,精装,德辉花园,南山路,0人关注 / 11个月以前发布,366,"42,244元/平",images\house_41_21.jpg
依山而建。单位宿舍东向 全明户型，两房 比邻鸿山公园,https://xm.lianjia.com/ershoufang/105112788373.html,2室1厅,49.25平米,南,简装,九竹巷,实验小学及周边,3人关注 / 一年前发布,358,"72,691元/平",images\house_41_22.jpg
软件园三期旁，近实小，厦外校区，交通便利。,https://xm.lianjia.com/ershoufang/105107127490.html,5室3厅,258.19平米,东 南 北,简装,中交和美新城(二期三期),集美新城,3人关注 / 一年前发布,1679,"65,030元/平",images\house_41_23.jpg
中交和美 央著 中海 边套大三房通透户型,https://xm.lianjia.com/ershoufang/105116347680.html,3室2厅,109.61平米,南,毛坯,中交和美新城四期,集美新城,0人关注 / 2个月以前发布,520,"47,441元/平",images\house_41_24.jpg
2004年小区  南北朝向 自住装修 60平露台 停车方便,https://xm.lianjia.com/ershoufang/105111878936.html,4室2厅,147.09平米,东南,精装,弘龙商业城,文园路,0人关注 / 一年前发布,950,"64,587元/平",images\house_41_25.jpg
莲花新城经典3房户型，可看湖景，中庭，双阳台,https://xm.lianjia.com/ershoufang/105114963283.html,3室2厅,88.4平米,西南,简装,莲花新城二期,集美新城,1人关注 / 7个月以前发布,326,"36,878元/平",images\house_41_26.jpg
禹洲大学城 3室2厅 东南,https://xm.lianjia.com/ershoufang/105116470322.html,3室2厅,95.87平米,东南,简装,禹洲大学城,集美其它,0人关注 / 2个月以前发布,180,"18,776元/平",images\house_41_27.jpg
开发商精装修全海景配备空调双主卧带浴缸配套齐全,https://xm.lianjia.com/ershoufang/105103807278.html,1室1厅,49.43平米,东南,简装,泰地海西中心,海沧区政府,17人关注 / 一年前发布,78,"15,780元/平",images\house_41_28.jpg
集美新城 自住精装 视野好 交通便利,https://xm.lianjia.com/ershoufang/105115040280.html,3室1厅,89.15平米,南,精装,莲花尚院,集美新城,0人关注 / 7个月以前发布,268,"30,062元/平",images\house_41_29.jpg
位于小区中间栋，不临路，安静，看中庭。,https://xm.lianjia.com/ershoufang/105114253224.html,3室2厅,109.47平米,南 北,其他,天湖城,海沧区政府,0人关注 / 10个月以前发布,330,"30,146元/平",images\house_42_0.jpg
新上山景大宅 云顶之尊 靠山 精装大平层 看房随时,https://xm.lianjia.com/ershoufang/105113241057.html,4室2厅,314.68平米,南 北,精装,云顶至尊,瑞景,1人关注 / 一年前发布,1850,"58,790元/平",images\house_42_1.jpg
⭐⭐⭐⭐⭐高层，毛坯，空户。复式使用面积大,https://xm.lianjia.com/ershoufang/105116298566.html,4室2厅,96.65平米,南,毛坯,中交和美新城四期,集美新城,0人关注 / 2个月以前发布,450,"46,560元/平",images\house_42_2.jpg
滨北仙岳路楼中楼 带电梯 带双露台 小区带停车位,https://xm.lianjia.com/ershoufang/105116197896.html,5室3厅,192.51平米,南 北,精装,富仕公寓,岳阳社区,0人关注 / 2个月以前发布,1138,"59,114元/平",images\house_42_3.jpg
双地铁口满五一套精装三房拎包入住刚需不二选择,https://xm.lianjia.com/ershoufang/105115889467.html,3室1厅,78.75平米,南 北,精装,兴隆新村,大唐世家,0人关注 / 4个月以前发布,316,"40,127元/平",images\house_42_4.jpg
维多利亚，沿海一排，180°落地窗看海景,https://xm.lianjia.com/ershoufang/105116754997.html,5室1厅,189.56平米,东南,精装,海晟维多利亚,滨海社区,1人关注 / 1个月以前发布,838,"44,208元/平",images\house_42_5.jpg
开发商精装修全海景配备空调双主卧带浴缸配套齐全,https://xm.lianjia.com/ershoufang/105103807278.html,1室1厅,49.43平米,东南,简装,泰地海西中心,海沧区政府,17人关注 / 一年前发布,78,"15,780元/平",images\house_42_6.jpg
禹洲大学城 3室2厅 东南,https://xm.lianjia.com/ershoufang/105116470322.html,3室2厅,95.87平米,东南,简装,禹洲大学城,集美其它,0人关注 / 2个月以前发布,180,"18,776元/平",images\house_42_7.jpg
依山而建。单位宿舍东向 全明户型，两房 比邻鸿山公园,https://xm.lianjia.com/ershoufang/105112788373.html,2室1厅,49.25平米,南,简装,九竹巷,实验小学及周边,3人关注 / 一年前发布,358,"72,691元/平",images\house_42_8.jpg
软件园三期旁，近实小，厦外校区，交通便利。,https://xm.lianjia.com/ershoufang/105107127490.html,5室3厅,258.19平米,东 南 北,简装,中交和美新城(二期三期),集美新城,3人关注 / 一年前发布,1679,"65,030元/平",images\house_42_9.jpg
中交和美 央著 中海 边套大三房通透户型,https://xm.lianjia.com/ershoufang/105116347680.html,3室2厅,109.61平米,南,毛坯,中交和美新城四期,集美新城,0人关注 / 2个月以前发布,520,"47,441元/平",images\house_42_10.jpg
莲花新城经典3房户型，可看湖景，中庭，双阳台,https://xm.lianjia.com/ershoufang/105114963283.html,3室2厅,88.4平米,西南,简装,莲花新城二期,集美新城,1人关注 / 7个月以前发布,326,"36,878元/平",images\house_42_11.jpg
产权满五年，随时可以看房，正规大3房,https://xm.lianjia.com/ershoufang/105110850720.html,3室2厅,143.16平米,南 北,毛坯,新港龙名府,松柏,2人关注 / 一年前发布,1150,"80,330元/平",images\house_42_12.jpg
福信小区 精装三房 中楼层 拎包入住,https://xm.lianjia.com/ershoufang/105106311400.html,3室1厅,123.44平米,东南 西北,精装,福信商城小区,集美文教区,6人关注 / 一年前发布,360,"29,164元/平",images\house_42_13.jpg
文教区南北通透大两房，明厨明卫，高楼层采光通风良好,https://xm.lianjia.com/ershoufang/105106386564.html,2室2厅,75.11平米,南 北,简装,石鼓路,集美文教区,74人关注 / 一年前发布,258,"34,350元/平",images\house_42_14.jpg
江头地铁口二号线边套采光好 南北 框架,https://xm.lianjia.com/ershoufang/105113165067.html,4室2厅,126.94平米,南,简装,江浦南里,江头,0人关注 / 一年前发布,498,"39,232元/平",images\house_42_15.jpg
2004年小区  南北朝向 自住装修 60平露台 停车方便,https://xm.lianjia.com/ershoufang/105111878936.html,4室2厅,147.09平米,东南,精装,弘龙商业城,文园路,0人关注 / 一年前发布,950,"64,587元/平",images\house_42_16.jpg
融信海上城 个人产权 精装修 合适楼层,https://xm.lianjia.com/ershoufang/105113421539.html,2室1厅,41.86平米,西,精装,融信海上城,滨海社区,1人关注 / 一年前发布,85,"20,306元/平",images\house_42_17.jpg
湖里公园地铁口，德辉花园，好楼层，大两房，户型方正,https://xm.lianjia.com/ershoufang/105113977882.html,2室2厅,86.64平米,东 西,精装,德辉花园,南山路,0人关注 / 11个月以前发布,366,"42,244元/平",images\house_42_18.jpg
联发杏林湾三期，精装60万，业主自住装修，诚意卖,https://xm.lianjia.com/ershoufang/105114823525.html,3室2厅,130.5平米,东南,精装,联发杏林湾一号三期,杏林桥头,0人关注 / 8个月以前发布,460,"35,250元/平",images\house_42_19.jpg
集美新城 自住精装 视野好 交通便利,https://xm.lianjia.com/ershoufang/105115040280.html,3室1厅,89.15平米,南,精装,莲花尚院,集美新城,0人关注 / 7个月以前发布,268,"30,062元/平",images\house_42_20.jpg
此房源使用面积大旁边就是地铁口商场近,https://xm.lianjia.com/ershoufang/105115020618.html,4室1厅,132.36平米,南 北,简装,厦门院子泰禾首玺A区,马銮湾中心片区,0人关注 / 7个月以前发布,408,"30,826元/平",images\house_42_21.jpg
松柏电梯房门口带入户花园正规四房出售,https://xm.lianjia.com/ershoufang/105115470544.html,4室2厅,129.83平米,南 北,精装,荣滨大厦,松柏,0人关注 / 5个月以前发布,958,"73,789元/平",images\house_42_22.jpg
水晶湖郡A区 6室2厅 南,https://xm.lianjia.com/ershoufang/105115563335.html,6室2厅,99.82平米,南,简装,水晶湖郡A区,集美新城,0人关注 / 5个月以前发布,550,"55,100元/平",images\house_42_23.jpg
江头台湾街，华永天地楼中楼，只算1层面积，急售。,https://xm.lianjia.com/ershoufang/105113973576.html,2室1厅,55.12平米,南,简装,华永天地,江头,0人关注 / 11个月以前发布,190,"34,471元/平",images\house_42_24.jpg
SM城市广场，楼下就是乌石浦地铁口 交通便利,https://xm.lianjia.com/ershoufang/105113640654.html,1室0厅,36.58平米,南,简装,龙门天下,江头,0人关注 / 一年前发布,210,"57,409元/平",images\house_42_25.jpg
新翔市直属电梯房精装2房边套全明格局汇景商圈,https://xm.lianjia.com/ershoufang/105113944221.html,2室2厅,62.8平米,北,精装,东方新城二期,新店,0人关注 / 11个月以前发布,130,"20,701元/平",images\house_42_26.jpg
空间大 采光好 户型通透 业主诚意卖房,https://xm.lianjia.com/ershoufang/105112895347.html,2室1厅,74.97平米,南 北,精装,富佳苑,海沧生活区,0人关注 / 一年前发布,215,"28,679元/平",images\house_42_27.jpg
乐安花园110经典大三房，小区停车方便，户型方正,https://xm.lianjia.com/ershoufang/105114883048.html,3室2厅,115.49平米,南 北,精装,乐安花园,集美文教区,1人关注 / 8个月以前发布,340,"29,440元/平",images\house_42_28.jpg
海投自贸城 2室2厅 南 北,https://xm.lianjia.com/ershoufang/105116451618.html,2室2厅,69.47平米,南 北,精装,海投自贸城,角嵩路,2人关注 / 2个月以前发布,131,"18,858元/平",images\house_42_29.jpg
3房朝南带阳台，户型方正，小区中庭安静，中层楼层,https://xm.lianjia.com/ershoufang/105113395312.html,3室2厅,96.32平米,南 北,精装,瑞景新村寿鹤苑,瑞景,1人关注 / 一年前发布,535,"55,545元/平",images\house_43_0.jpg
此房满五年 税费低 ，南北朝向 采光好,https://xm.lianjia.com/ershoufang/105115619359.html,3室1厅,84.8平米,南 北,精装,万科城四期,马銮湾东,0人关注 / 5个月以前发布,228,"26,887元/平",images\house_43_1.jpg
莲花新城金典户型，双阳台，全实木家具，拎包入住,https://xm.lianjia.com/ershoufang/105115456361.html,3室1厅,89.61平米,东南,精装,莲花新城一期,集美新城,0人关注 / 5个月以前发布,343,"38,277元/平",images\house_43_2.jpg
花园小区 大露台 边套全明格局 全新精高装,https://xm.lianjia.com/ershoufang/105115814974.html,3室2厅,112.99平米,南 北,精装,首开领翔上郡三期,新店,0人关注 / 4个月以前发布,360,"31,862元/平",images\house_43_3.jpg
兴东鑫花园136.84平，简装，急出售，商品房。,https://xm.lianjia.com/ershoufang/105116436690.html,3室2厅,136.84平米,东南,简装,兴东鑫花园,海沧生活区,0人关注 / 2个月以前发布,360,"26,309元/平",images\house_43_4.jpg
此房位于中楼层，产权清晰，业主稳定，满五,https://xm.lianjia.com/ershoufang/105111525033.html,3室2厅,129.02平米,东南,简装,石鼓路,集美文教区,0人关注 / 一年前发布,389,"30,151元/平",images\house_43_5.jpg
中骏天峰精装正规一房一厅，客厅和主卧正面看海,https://xm.lianjia.com/ershoufang/105108014543.html,1室1厅,76.94平米,东南,精装,中骏天峰,海沧体育中心,5人关注 / 一年前发布,430,"55,888元/平",images\house_43_6.jpg
低总价好房带小区电梯直达 筼筜湖边,https://xm.lianjia.com/ershoufang/105113782528.html,1室0厅,25.99平米,东,精装,新嘉园,禾祥西路,0人关注 / 一年前发布,212,"81,570元/平",images\house_43_7.jpg
此房格局方正，楼层适中，朝南，采光充足。,https://xm.lianjia.com/ershoufang/105109730961.html,3室2厅,83.2平米,西南,精装,华玺,马銮湾东,10人关注 / 一年前发布,238,"28,606元/平",images\house_43_8.jpg
印斗路 正规两房，业主诚意出售,https://xm.lianjia.com/ershoufang/105108441885.html,2室2厅,63.56平米,南,精装,印斗路,集美文教区,20人关注 / 一年前发布,239,"37,603元/平",images\house_43_9.jpg
龙湖品质小区，精装高层两房，满五免个税,https://xm.lianjia.com/ershoufang/105109916589.html,2室2厅,89.8平米,东南,精装,龙湖嘉屿城,灌口,1人关注 / 一年前发布,205,"22,829元/平",images\house_43_10.jpg
厦门CBD，17年新房， 封闭式 花园小区，,https://xm.lianjia.com/ershoufang/105110543100.html,2室1厅,101.47平米,西南,精装,信和银湖天峰,市政府,3人关注 / 一年前发布,676,"66,621元/平",images\house_43_11.jpg
南北双阳台 全明格局 明厨明卫 前后靠中庭 安静,https://xm.lianjia.com/ershoufang/105111399674.html,3室2厅,84.09平米,南 北,简装,通仕达小区,莲花,1人关注 / 一年前发布,420,"49,947元/平",images\house_43_12.jpg
全景大落地窗，一线海景房，动静分离,https://xm.lianjia.com/ershoufang/105113077695.html,3室2厅,197.15平米,南 北,精装,华玺,马銮湾东,1人关注 / 一年前发布,680,"34,492元/平",images\house_43_13.jpg
此房是楼中楼，六楼一套七楼一套，独立分开，值,https://xm.lianjia.com/ershoufang/105113351355.html,4室2厅,159.98平米,南 北,精装,通仕达小区,莲花,1人关注 / 一年前发布,680,"42,506元/平",images\house_43_14.jpg
业主诚意出售 全明格局 三开间朝南,https://xm.lianjia.com/ershoufang/105114323929.html,2室2厅,89.93平米,东南,精装,龙湖嘉屿城,灌口,0人关注 / 10个月以前发布,205,"22,796元/平",images\house_43_15.jpg
电梯04年 总价低 空户 户型方正 产权在手 随时交易,https://xm.lianjia.com/ershoufang/105110582572.html,2室1厅,47.59平米,北,简装,新嘉园,禾祥西路,5人关注 / 一年前发布,285,"59,887元/平",images\house_43_16.jpg
